Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomBytes,Y,N,Y,Y,Y,4096,hex,2720751.6406401736,1.74683629828619e-8,3.6754549186441256e-7,3.531379180705341e-9,0.9608005699626607,94,1.8017240717884393e-9,3.0514370530101994e-16
crypto.randomBytes,Y,N,Y,N,N,4096,hex,1198539.6477776158,7.531937731121059e-8,8.34348702484931e-7,1.6609220343152523e-8,1.9906809099942837,79,8.474092011812511e-9,5.673008598548504e-15
crypto.randomBytes,Y,N,Y,Y,N,4096,hex,924544.7307547806,1.2791092412954676e-7,0.0000010816134327904494,3.133817641173895e-8,2.8973545872937003,64,1.5988865516193345e-8,1.6361204511674665e-14
crypto.randomBytes,Y,N,Y,N,Y,4096,buffer,6162506.706830972,1.4199150421528658e-8,1.622716286688219e-7,3.0010221834889653e-9,1.8493819333099275,86,1.5311337670862068e-9,2.0161587269319747e-16
crypto.randomBytes,Y,N,Y,Y,Y,4096,buffer,4922728.937827928,1.7757370567630292e-8,2.0313935880475947e-7,3.7101664430985943e-9,1.8264143713599565,88,1.8929420628054053e-9,3.1532420947614256e-16
crypto.randomBytes,Y,N,Y,N,N,4096,buffer,1691324.1660212853,1.0234763022067112e-7,5.912527119815392e-7,2.4149565279827798e-8,4.084474335668134,69,1.2321206775422346e-8,1.0475037411787233e-14
crypto.randomBytes,Y,N,Y,Y,N,4096,buffer,1762287.7221863384,5.36814729500534e-8,5.674442302528074e-7,1.2069067021847425e-8,2.1269168630845754,76,6.157687256044605e-9,2.8817005380873154e-15
crypto.randomBytes,Y,N,Y,N,Y,65536,hex,3286910.4051297638,1.4224524879536557e-8,3.0423707273533704e-7,2.8910284553918242e-9,0.9502551511553615,93,1.4750145180570532e-9,2.023371080485545e-16
crypto.randomBytes,Y,N,Y,Y,Y,65536,hex,2824979.1406795634,1.6274800886760673e-8,3.5398491464947414e-7,3.290090380994336e-9,0.9294436697259476,94,1.6786175413236407e-9,2.64869143903706e-16
crypto.randomBytes,Y,N,Y,N,N,65536,hex,1431492.3425474612,5.302635859590407e-8,6.985716725668373e-7,1.2000994704520409e-8,1.7179332022473597,75,6.122956481898168e-9,2.81179470594141e-15
crypto.randomBytes,Y,N,Y,Y,N,65536,hex,1287461.6174067254,5.398108554489833e-8,7.767221845527745e-7,1.1903759380181889e-8,1.5325633304829454,79,6.07334662254178e-9,2.9139575966056315e-15
crypto.randomBytes,Y,N,Y,N,Y,65536,buffer,6901500.799340768,1.255637486026407e-8,1.4489602031133868e-7,2.6385219884430096e-9,1.820976161231762,87,1.3461846879811274e-9,1.5766254963147156e-16
crypto.randomBytes,Y,N,Y,Y,Y,65536,buffer,5346327.80914782,9.141954948473208e-9,1.870442733213913e-7,1.8993287614410696e-9,1.0154434176006677,89,9.690452864495253e-10,8.357534027991377e-17
